Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0669366684,0.2239314904,0.7091318412
-111.5000000000,78.5000000000,0.0722524251,0.2271467162,0.7006008588
-110.5000000000,78.5000000000,0.0755884095,0.2229170856,0.7014945049
-109.5000000000,78.5000000000,0.0791782613,0.2323757802,0.6884459585
-104.5000000000,78.5000000000,0.0964037359,0.3037589720,0.5998372920
-103.5000000000,78.5000000000,0.0997411914,0.3193537712,0.5809050374
-102.5000000000,78.5000000000,0.1032275497,0.3306052597,0.5661671906
-101.5000000000,78.5000000000,0.1065648106,0.3382291816,0.5552060078
-100.5000000000,78.5000000000,0.1095544879,0.3530599046,0.5373856075
-97.5000000000,78.5000000000,0.1244176811,0.4028650729,0.4727172460
-96.5000000000,78.5000000000,0.1246988275,0.4247153205,0.4505858520
-95.5000000000,78.5000000000,0.1285555176,0.4418201376,0.4296243448
-92.5000000000,78.5000000000,0.1206635088,0.5002555147,0.3790809765
-91.5000000000,78.5000000000,0.1428103057,0.5119011754,0.3452885189
-90.5000000000,78.5000000000,0.1409143284,0.5360362839,0.3230493877
-89.5000000000,78.5000000000,0.1183875878,0.5627668662,0.3188455460
-86.5000000000,78.5000000000,0.0772068094,0.6366109927,0.2861821979
-85.5000000000,78.5000000000,0.0698167767,0.6593521462,0.2708310771
-84.5000000000,78.5000000000,0.0608904668,0.6831139381,0.2559955951
-83.5000000000,78.5000000000,0.0558662792,0.6995558378,0.2445778830
-82.5000000000,78.5000000000,0.0446442257,0.7066270451,0.2487287292
-81.5000000000,78.5000000000,0.0485847358,0.6711757207,0.2802395434
-80.5000000000,78.5000000000,0.0582176625,0.6288496420,0.3129326955
-79.5000000000,78.5000000000,0.0718551952,0.5749015687,0.3532432360
-78.5000000000,78.5000000000,0.0578343567,0.5397666064,0.4023990369
-77.5000000000,78.5000000000,0.0531840511,0.5009529350,0.4458630140
-116.5000000000,77.5000000000,0.0466518229,0.1896328369,0.7637153401
-112.5000000000,77.5000000000,0.0677850635,0.2230243807,0.7091905558
-111.5000000000,77.5000000000,0.0729422505,0.2262704069,0.7007873426
-110.5000000000,77.5000000000,0.0750968059,0.2223463386,0.7025568555
-105.5000000000,77.5000000000,0.0947292123,0.2874195427,0.6178512450
-95.5000000000,77.5000000000,0.1277547941,0.4413380584,0.4309071475
-94.5000000000,77.5000000000,0.1237780491,0.4517052665,0.4245166844
-93.5000000000,77.5000000000,0.1210398836,0.4716631982,0.4072969182
-90.5000000000,77.5000000000,0.1112625324,0.5538615573,0.3348759103
-87.5000000000,77.5000000000,0.0796376239,0.6191043599,0.3012580162
-86.5000000000,77.5000000000,0.0768351987,0.6360615087,0.2871032925
-82.5000000000,77.5000000000,0.0467551718,0.7042855866,0.2489592416
-81.5000000000,77.5000000000,0.0425039506,0.6747383855,0.2827576640
-80.5000000000,77.5000000000,0.0541241025,0.6307745136,0.3151013839
-79.5000000000,77.5000000000,0.0528779802,0.5859720741,0.3611499457
-78.5000000000,77.5000000000,0.0492190649,0.5438745188,0.4069064163
-120.5000000000,76.5000000000,0.0422353084,0.1930892308,0.7646754608
-119.5000000000,76.5000000000,0.0411329801,0.1747331506,0.7841338693
-117.5000000000,76.5000000000,0.0456698744,0.1783579498,0.7759721758
-109.5000000000,76.5000000000,0.0803145420,0.2306609389,0.6890245190
-104.5000000000,76.5000000000,0.0971137186,0.3018659956,0.6010202857
-103.5000000000,76.5000000000,0.1004598537,0.3174082082,0.5821319381
-100.5000000000,76.5000000000,0.1128823317,0.3499799129,0.5371377554
-99.5000000000,76.5000000000,0.1200476111,0.3660608100,0.5138915789
-98.5000000000,76.5000000000,0.1258008654,0.3815542007,0.4926449339
-95.5000000000,76.5000000000,0.1329607866,0.4377848302,0.4292543832
-94.5000000000,76.5000000000,0.1332321132,0.4458871663,0.4208807206
-93.5000000000,76.5000000000,0.1222314210,0.4701221080,0.4076464711
-92.5000000000,76.5000000000,0.1270284361,0.4948403947,0.3781311692
-90.5000000000,76.5000000000,0.1106024185,0.5534218404,0.3359757410
-88.5000000000,76.5000000000,0.0916747304,0.5915070445,0.3168182251
-86.5000000000,76.5000000000,0.0742604335,0.6370460060,0.2886935605
-85.5000000000,76.5000000000,0.0725093086,0.6558491902,0.2716415012
-84.5000000000,76.5000000000,0.0583960496,0.6834234833,0.2581804671
-83.5000000000,76.5000000000,0.0543486693,0.6992083759,0.2464429548
-82.5000000000,76.5000000000,0.0566205715,0.6961348743,0.2472445542
-81.5000000000,76.5000000000,0.0469206689,0.6707486100,0.2823307211
-80.5000000000,76.5000000000,0.0467889959,0.6349011482,0.3183098559
-79.5000000000,76.5000000000,0.0579268633,0.5818702535,0.3602028832
-78.5000000000,76.5000000000,0.0512381516,0.5417371078,0.4070247406
-115.5000000000,75.5000000000,0.0546719729,0.1977992574,0.7475287697
-114.5000000000,75.5000000000,0.0645408736,0.2032366375,0.7322224889
-113.5000000000,75.5000000000,0.0725737051,0.2116519908,0.7157743041
-112.5000000000,75.5000000000,0.0758765295,0.2196483288,0.7044751417
-111.5000000000,75.5000000000,0.0748538741,0.2243923934,0.7007537326
-110.5000000000,75.5000000000,0.0771004466,0.2204708363,0.7024287171
-109.5000000000,75.5000000000,0.0808768111,0.2298085853,0.6893146036
-108.5000000000,75.5000000000,0.0853100720,0.2418825176,0.6728074104
-107.5000000000,75.5000000000,0.0917818631,0.2528604170,0.6553577199
-106.5000000000,75.5000000000,0.0942687058,0.2725738036,0.6331574906
-99.5000000000,75.5000000000,0.1188158731,0.3657043613,0.5154797656
-98.5000000000,75.5000000000,0.1238139478,0.3815511425,0.4946349096
-95.5000000000,75.5000000000,0.1296922060,0.4385637937,0.4317440003
-94.5000000000,75.5000000000,0.1302322540,0.4465584752,0.4232092708
-91.5000000000,75.5000000000,0.1242489275,0.5205019327,0.3552491398
-90.5000000000,75.5000000000,0.1213516912,0.5458187362,0.3328295726
-89.5000000000,75.5000000000,0.1110933843,0.5649449350,0.3239616807
-88.5000000000,75.5000000000,0.0973418782,0.5869337947,0.3157243270
-85.5000000000,75.5000000000,0.0710914221,0.6560766389,0.2728319390
-84.5000000000,75.5000000000,0.0629004328,0.6793435527,0.2577560144
-83.5000000000,75.5000000000,0.0671313097,0.6888928455,0.2439758448
-82.5000000000,75.5000000000,0.0651986907,0.6889784997,0.2458228096
-81.5000000000,75.5000000000,0.0528515267,0.6656875886,0.2814608848
-80.5000000000,75.5000000000,0.0510228510,0.6311557459,0.3178214031
-121.5000000000,74.5000000000,0.0528619933,0.2554090160,0.6917289906
-113.5000000000,74.5000000000,0.0674404105,0.2164716278,0.7160879617
-112.5000000000,74.5000000000,0.0733477778,0.2192580987,0.7073941235
-97.5000000000,74.5000000000,0.1239869703,0.3926039029,0.4834091268
-88.5000000000,74.5000000000,0.0937166614,0.5825352836,0.3237480550
-87.5000000000,74.5000000000,0.0929212174,0.5969154699,0.3101633127
-86.5000000000,74.5000000000,0.0796509096,0.6243078720,0.2960412184
-123.5000000000,73.5000000000,0.0793794070,0.4716160953,0.4490044977
-122.5000000000,73.5000000000,0.0704978251,0.3839626769,0.5455394980
-121.5000000000,73.5000000000,0.0587324524,0.2858279417,0.6554396059
-120.5000000000,73.5000000000,0.0496391350,0.2122039062,0.7381569588
-119.5000000000,73.5000000000,0.0493153112,0.2006961648,0.7499885240
-118.5000000000,73.5000000000,0.0530750369,0.2016424174,0.7452825458
-117.5000000000,73.5000000000,0.0547875518,0.2051074981,0.7401049501
-116.5000000000,73.5000000000,0.0560057513,0.2080688266,0.7359254222
-115.5000000000,73.5000000000,0.0582593997,0.2123569049,0.7293836954
-106.5000000000,73.5000000000,0.0939139338,0.2718324743,0.6342535919
-105.5000000000,73.5000000000,0.0964790214,0.2860777669,0.6174432117
-104.5000000000,73.5000000000,0.0977290186,0.3028840051,0.5993869763
-101.5000000000,73.5000000000,0.1089888697,0.3405864351,0.5504246952
-100.5000000000,73.5000000000,0.1174206594,0.3455909738,0.5369883668
-99.5000000000,73.5000000000,0.1190914392,0.3611847259,0.5197238349
-98.5000000000,73.5000000000,0.1253339610,0.3712625560,0.5034034830
-95.5000000000,73.5000000000,0.1406422170,0.4278471843,0.4315105986
-94.5000000000,73.5000000000,0.1454588261,0.4461881013,0.4083530726
-93.5000000000,73.5000000000,0.1431974111,0.4621386152,0.3946639737
-92.5000000000,73.5000000000,0.1398693767,0.4833925780,0.3767380453
-91.5000000000,73.5000000000,0.1311456766,0.5060337734,0.3628205500
-87.5000000000,73.5000000000,0.0965833942,0.5872915746,0.3161250312
-86.5000000000,73.5000000000,0.0906458880,0.6071632040,0.3021909080
-83.5000000000,73.5000000000,0.0654030256,0.6566127558,0.2779842186
-82.5000000000,73.5000000000,0.0607872012,0.6544028441,0.2848099547
-81.5000000000,73.5000000000,0.0554006943,0.6329820177,0.3116172880
-80.5000000000,73.5000000000,0.0635092873,0.5906324077,0.3458583050
-79.5000000000,73.5000000000,0.0651387062,0.5529167159,0.3819445780
-78.5000000000,73.5000000000,0.0551030762,0.5148063110,0.4300906129
-77.5000000000,73.5000000000,0.0563012298,0.4748337138,0.4688650564
-124.5000000000,72.5000000000,0.0998823220,0.5795715081,0.3205461699
-123.5000000000,72.5000000000,0.0885594074,0.5350981780,0.3763424146
-122.5000000000,72.5000000000,0.0796959628,0.4668733180,0.4534307192
-121.5000000000,72.5000000000,0.0711390898,0.3643473927,0.5645135175
-120.5000000000,72.5000000000,0.0627451871,0.2761068943,0.6611479186
-119.5000000000,72.5000000000,0.0609581592,0.2557686927,0.6832731481
-117.5000000000,72.5000000000,0.0603411038,0.2352953077,0.7043635885
-116.5000000000,72.5000000000,0.0619836172,0.2303328623,0.7076835204
-115.5000000000,72.5000000000,0.0625061111,0.2280784807,0.7094154082
-114.5000000000,72.5000000000,0.0625959014,0.2265468423,0.7108572564
-113.5000000000,72.5000000000,0.0696957806,0.2221007607,0.7082034586
-112.5000000000,72.5000000000,0.0763232201,0.2147772172,0.7088995628
-111.5000000000,72.5000000000,0.0767702686,0.2132726344,0.7099570970
-109.5000000000,72.5000000000,0.0927947878,0.2295115592,0.6776936530
-107.5000000000,72.5000000000,0.0957835415,0.2610830661,0.6431333924
-106.5000000000,72.5000000000,0.0970843595,0.2774215250,0.6254941155
-105.5000000000,72.5000000000,0.0962022974,0.2949219985,0.6088757042
-101.5000000000,72.5000000000,0.1101442632,0.3390407092,0.5508150277
-100.5000000000,72.5000000000,0.1139067671,0.3482096376,0.5378835953
-99.5000000000,72.5000000000,0.1184042005,0.3568274965,0.5247683030
-98.5000000000,72.5000000000,0.1224012914,0.3704656598,0.5071330487
-97.5000000000,72.5000000000,0.1286274405,0.3863293703,0.4850431893
-96.5000000000,72.5000000000,0.1384103217,0.4057595648,0.4558301136
-94.5000000000,72.5000000000,0.1490149600,0.4418946907,0.4090903493
-93.5000000000,72.5000000000,0.1373450247,0.4612305844,0.4014243909
-89.5000000000,72.5000000000,0.1188454350,0.5365579949,0.3445965701
-88.5000000000,72.5000000000,0.1097636155,0.5570996913,0.3331366932
-87.5000000000,72.5000000000,0.1051058152,0.5750548461,0.3198393387
-86.5000000000,72.5000000000,0.0938350082,0.5919365186,0.3142284731
-85.5000000000,72.5000000000,0.0838250300,0.6095196498,0.3066553202
-84.5000000000,72.5000000000,0.0813868083,0.6215911156,0.2970220762
-83.5000000000,72.5000000000,0.0742067581,0.6261969282,0.2995963137
-82.5000000000,72.5000000000,0.0743448251,0.6184848844,0.3071702905
-81.5000000000,72.5000000000,0.0675639440,0.5989437928,0.3334922632
-80.5000000000,72.5000000000,0.0577548265,0.5652123716,0.3770328019
-78.5000000000,72.5000000000,0.0546727541,0.4951758939,0.4501513520
-77.5000000000,72.5000000000,0.0601532860,0.4533931902,0.4864535238
-76.5000000000,72.5000000000,0.0608318500,0.4171064779,0.5220616721
-75.5000000000,72.5000000000,0.0496699129,0.3783086219,0.5720214652
-123.5000000000,71.5000000000,0.1063875830,0.5915742508,0.3020381661
-122.5000000000,71.5000000000,0.0962065203,0.5534567542,0.3503367254
-121.5000000000,71.5000000000,0.0843622936,0.4616432004,0.4539945060
-117.5000000000,71.5000000000,0.0675418926,0.2729235673,0.6595345401
-116.5000000000,71.5000000000,0.0665305944,0.2541708944,0.6792985112
-114.5000000000,71.5000000000,0.0697300539,0.2335098214,0.6967601247
-113.5000000000,71.5000000000,0.0797119781,0.2235729199,0.6967151019
-112.5000000000,71.5000000000,0.0807926894,0.2130997800,0.7061075306
-111.5000000000,71.5000000000,0.0857127733,0.2074668398,0.7068203869
-110.5000000000,71.5000000000,0.0941250645,0.2165143319,0.6893606036
-109.5000000000,71.5000000000,0.0962663716,0.2307469608,0.6729866677
-108.5000000000,71.5000000000,0.0949648599,0.2522011415,0.6528339986
-107.5000000000,71.5000000000,0.0972152945,0.2656840375,0.6371006680
-106.5000000000,71.5000000000,0.0983056607,0.2838894310,0.6178049083
-105.5000000000,71.5000000000,0.0998084030,0.3023582595,0.5978333375
-104.5000000000,71.5000000000,0.0987136490,0.3138523024,0.5874340486
-98.5000000000,71.5000000000,0.1214358745,0.3684070751,0.5101570504
-95.5000000000,71.5000000000,0.1484938579,0.4245276607,0.4269784814
-94.5000000000,71.5000000000,0.1520285313,0.4391750305,0.4087964382
-93.5000000000,71.5000000000,0.1442391315,0.4540444106,0.4017164580
-89.5000000000,71.5000000000,0.1294393593,0.5192421680,0.3513184726
-88.5000000000,71.5000000000,0.1238421012,0.5371220514,0.3390358474
-87.5000000000,71.5000000000,0.1121145408,0.5569467260,0.3309387332
-86.5000000000,71.5000000000,0.1036342327,0.5717277930,0.3246379744
-85.5000000000,71.5000000000,0.0920688529,0.5826693866,0.3252617605
-84.5000000000,71.5000000000,0.0856395240,0.5911421935,0.3232182825
-83.5000000000,71.5000000000,0.0797966810,0.5928228672,0.3273804518
-82.5000000000,71.5000000000,0.0784784739,0.5815933662,0.3399281599
-81.5000000000,71.5000000000,0.0745871026,0.5654520348,0.3599608626
-80.5000000000,71.5000000000,0.0711837212,0.5350194049,0.3937968739
-79.5000000000,71.5000000000,0.0745843623,0.4989832927,0.4264323450
-78.5000000000,71.5000000000,0.0701271467,0.4691119999,0.4607608533
-77.5000000000,71.5000000000,0.0688006391,0.4341948086,0.4970045522
-76.5000000000,71.5000000000,0.0629767276,0.3973601162,0.5396631562
-75.5000000000,71.5000000000,0.0550909452,0.3634633291,0.5814457257
-74.5000000000,71.5000000000,0.0582421697,0.3267795097,0.6149783207
-72.5000000000,71.5000000000,0.0411404336,0.2689316292,0.6899279372
-158.5000000000,70.5000000000,0.0465099942,0.1425286324,0.8109613734
-157.5000000000,70.5000000000,0.0423288908,0.1334193458,0.8242517634
-156.5000000000,70.5000000000,0.0405438366,0.1418825415,0.8175736219
-155.5000000000,70.5000000000,0.0406023493,0.1571079765,0.8022896742
-154.5000000000,70.5000000000,0.0464676178,0.1937639544,0.7597684277
-153.5000000000,70.5000000000,0.0518841774,0.2272766626,0.7208391599
-152.5000000000,70.5000000000,0.0546797672,0.2497361020,0.6955841308
-149.5000000000,70.5000000000,0.0496979199,0.2533757282,0.6969263519
-111.5000000000,70.5000000000,0.0875864404,0.2053813881,0.7070321715
-110.5000000000,70.5000000000,0.0978648223,0.2191566977,0.6829784800
-109.5000000000,70.5000000000,0.1022622381,0.2399836944,0.6577540675
-108.5000000000,70.5000000000,0.1043903437,0.2573748925,0.6382347638
-107.5000000000,70.5000000000,0.1056402727,0.2758302889,0.6185294384
-106.5000000000,70.5000000000,0.1037156201,0.2864940729,0.6097903069
-105.5000000000,70.5000000000,0.1004668298,0.3032683674,0.5962648028
-104.5000000000,70.5000000000,0.1001024305,0.3163023789,0.5835951907
-103.5000000000,70.5000000000,0.0991453571,0.3233861451,0.5774684978
-95.5000000000,70.5000000000,0.1558010632,0.4153697501,0.4288291867
-94.5000000000,70.5000000000,0.1621831661,0.4301706947,0.4076461392
-93.5000000000,70.5000000000,0.1680264866,0.4357780667,0.3961954467
-92.5000000000,70.5000000000,0.1523187186,0.4586550397,0.3890262416
-88.5000000000,70.5000000000,0.1287131177,0.5236492787,0.3476376036
-87.5000000000,70.5000000000,0.1228340329,0.5386287636,0.3385372035
-86.5000000000,70.5000000000,0.1189163771,0.5490483699,0.3320352529
-85.5000000000,70.5000000000,0.1122340686,0.5538247627,0.3339411688
-84.5000000000,70.5000000000,0.1003086006,0.5568137008,0.3428776986
-83.5000000000,70.5000000000,0.0928353482,0.5563573138,0.3508073381
-82.5000000000,70.5000000000,0.0869514075,0.5484549719,0.3645936206
-81.5000000000,70.5000000000,0.0791645158,0.5324145441,0.3884209400
-80.5000000000,70.5000000000,0.0748793982,0.5084674532,0.4166531486
-79.5000000000,70.5000000000,0.0681547212,0.4835659642,0.4482793146
-78.5000000000,70.5000000000,0.0693198276,0.4500794653,0.4806007071
-77.5000000000,70.5000000000,0.0672594234,0.4166935175,0.5160470591
-76.5000000000,70.5000000000,0.0635527763,0.3766277941,0.5598194296
-75.5000000000,70.5000000000,0.0601800138,0.3433186436,0.5965013425
-74.5000000000,70.5000000000,0.0567782984,0.3132212956,0.6300004061
-73.5000000000,70.5000000000,0.0514627462,0.2849462689,0.6635909849
-72.5000000000,70.5000000000,0.0490294313,0.2604277475,0.6905428212
-71.5000000000,70.5000000000,0.0529307770,0.2309813792,0.7160878438
-70.5000000000,70.5000000000,0.0338392448,0.2050719782,0.7610887771
-69.5000000000,70.5000000000,0.0292992999,0.1835108519,0.7871898482
-68.5000000000,70.5000000000,0.0262875726,0.1713136887,0.8023987387
-162.5000000000,69.5000000000,0.0606851172,0.1866711975,0.7526436853
-161.5000000000,69.5000000000,0.0619510334,0.1867073483,0.7513416183
-160.5000000000,69.5000000000,0.0641141298,0.1899530115,0.7459328587
-159.5000000000,69.5000000000,0.0623578292,0.1883696609,0.7492725099
