Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0321694934,0.1897253422,0.7781051644
-111.5000000000,78.5000000000,0.0349507642,0.2018752662,0.7631739696
-110.5000000000,78.5000000000,0.0386156143,0.2157031114,0.7456812743
-109.5000000000,78.5000000000,0.0419989893,0.2308014783,0.7271995324
-104.5000000000,78.5000000000,0.0573303248,0.3010912360,0.6415784392
-103.5000000000,78.5000000000,0.0596663156,0.3134272590,0.6269064254
-102.5000000000,78.5000000000,0.0610431671,0.3254795474,0.6134772855
-101.5000000000,78.5000000000,0.0619855054,0.3370357432,0.6009787515
-100.5000000000,78.5000000000,0.0616342177,0.3529753647,0.5853904176
-97.5000000000,78.5000000000,0.0604356662,0.4143481054,0.5252162284
-96.5000000000,78.5000000000,0.0593804817,0.4473432978,0.4932762205
-95.5000000000,78.5000000000,0.0592809752,0.4909824089,0.4497366159
-92.5000000000,78.5000000000,0.0548680968,0.6616304884,0.2835014148
-91.5000000000,78.5000000000,0.0595595015,0.7182623870,0.2221781115
-90.5000000000,78.5000000000,0.0565471126,0.7689225429,0.1745303445
-89.5000000000,78.5000000000,0.0463509104,0.8135794495,0.1400696400
-86.5000000000,78.5000000000,0.0277016366,0.9088869203,0.0634114431
-85.5000000000,78.5000000000,0.0237729352,0.9277516675,0.0484753973
-84.5000000000,78.5000000000,0.0204188222,0.9411520040,0.0384291738
-83.5000000000,78.5000000000,0.0189177504,0.9486573560,0.0324248936
-82.5000000000,78.5000000000,0.0161833630,0.9526076484,0.0312089885
-81.5000000000,78.5000000000,0.0179741214,0.9476797050,0.0343461736
-80.5000000000,78.5000000000,0.0221863979,0.9370086707,0.0408049314
-79.5000000000,78.5000000000,0.0286330638,0.9196901610,0.0516767751
-78.5000000000,78.5000000000,0.0268851544,0.9008472304,0.0722676152
-77.5000000000,78.5000000000,0.0283137459,0.8735061570,0.0981800971
-116.5000000000,77.5000000000,0.0286784749,0.1665657564,0.8047557686
-112.5000000000,77.5000000000,0.0328896662,0.1887926661,0.7783176677
