Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0477391595,0.2171658982,0.7350949423
-111.5000000000,78.5000000000,0.0505761743,0.2229672104,0.7264566154
-110.5000000000,78.5000000000,0.0539891181,0.2275506140,0.7184602679
-109.5000000000,78.5000000000,0.0558206894,0.2321578403,0.7120214703
-104.5000000000,78.5000000000,0.0668362797,0.2596342377,0.6735294826
-103.5000000000,78.5000000000,0.0714161584,0.2737260060,0.6548578356
-102.5000000000,78.5000000000,0.0769000588,0.2892559831,0.6338439581
-101.5000000000,78.5000000000,0.0823093770,0.3017306181,0.6159600049
-100.5000000000,78.5000000000,0.0863053041,0.3162858704,0.5974088255
-97.5000000000,78.5000000000,0.0964118861,0.3358311666,0.5677569473
-96.5000000000,78.5000000000,0.0996139234,0.3356702300,0.5647158466
-95.5000000000,78.5000000000,0.1037614290,0.3443120271,0.5519265439
-92.5000000000,78.5000000000,0.1156722796,0.4309634357,0.4533642847
-91.5000000000,78.5000000000,0.1329304197,0.4785711539,0.3884984264
-90.5000000000,78.5000000000,0.1353463971,0.5197406150,0.3449129879
-89.5000000000,78.5000000000,0.1220102037,0.5587907288,0.3191990675
-86.5000000000,78.5000000000,0.0902668283,0.6793961520,0.2303370197
-85.5000000000,78.5000000000,0.0821216111,0.7153388382,0.2025395507
-84.5000000000,78.5000000000,0.0728970258,0.7466895176,0.1804134566
-83.5000000000,78.5000000000,0.0670278075,0.7671654531,0.1658067394
-82.5000000000,78.5000000000,0.0551438584,0.7774804332,0.1673757085
-81.5000000000,78.5000000000,0.0564569068,0.7613507254,0.1821923678
-80.5000000000,78.5000000000,0.0628841616,0.7339151612,0.2032006772
-79.5000000000,78.5000000000,0.0700422213,0.6962956079,0.2336621708
-78.5000000000,78.5000000000,0.0571108776,0.6475878212,0.2953013012
-77.5000000000,78.5000000000,0.0506773062,0.5840283837,0.3652943101
-116.5000000000,77.5000000000,0.0379781519,0.1876456094,0.7743762387
-112.5000000000,77.5000000000,0.0483770045,0.2164521246,0.7351708708
-111.5000000000,77.5000000000,0.0511199516,0.2221152830,0.7267647654
-110.5000000000,77.5000000000,0.0538405013,0.2260739768,0.7200855220
-105.5000000000,77.5000000000,0.0651533222,0.2483441172,0.6865025606
-95.5000000000,77.5000000000,0.1035207111,0.3424804053,0.5539988837
-94.5000000000,77.5000000000,0.1082672083,0.3639541834,0.5277786083
-93.5000000000,77.5000000000,0.1119641929,0.3917676312,0.4962681759
-90.5000000000,77.5000000000,0.1143344860,0.5157134202,0.3699520938
-87.5000000000,77.5000000000,0.0943660702,0.6373509096,0.2682830202
-86.5000000000,77.5000000000,0.0903922305,0.6777908528,0.2318169167
-82.5000000000,77.5000000000,0.0571523012,0.7765374790,0.1663102198
-81.5000000000,77.5000000000,0.0519081990,0.7584369702,0.1896548308
-80.5000000000,77.5000000000,0.0601691221,0.7316115109,0.2082193669
-79.5000000000,77.5000000000,0.0569820303,0.6892601651,0.2537578047
-78.5000000000,77.5000000000,0.0512130642,0.6409730275,0.3078139083
-120.5000000000,76.5000000000,0.0425065180,0.2232566925,0.7342367895
-119.5000000000,76.5000000000,0.0391334832,0.1915975888,0.7692689280
-117.5000000000,76.5000000000,0.0386328937,0.1819115903,0.7794555160
-109.5000000000,76.5000000000,0.0568020444,0.2302018739,0.7129960817
-104.5000000000,76.5000000000,0.0676043290,0.2571923350,0.6752033360
-103.5000000000,76.5000000000,0.0722298251,0.2711755892,0.6565945857
-100.5000000000,76.5000000000,0.0889388713,0.3142639468,0.5967971820
-99.5000000000,76.5000000000,0.0940432303,0.3254238814,0.5805328883
-98.5000000000,76.5000000000,0.0967341662,0.3329177839,0.5703480499
-95.5000000000,76.5000000000,0.1071976590,0.3420844481,0.5507178929
-94.5000000000,76.5000000000,0.1150868351,0.3643454123,0.5205677527
-93.5000000000,76.5000000000,0.1131543292,0.3902960781,0.4965495927
-92.5000000000,76.5000000000,0.1210487751,0.4285111828,0.4504400421
-90.5000000000,76.5000000000,0.1142542848,0.5138021514,0.3719435638
-88.5000000000,76.5000000000,0.1043523633,0.5995509989,0.2960966378
-86.5000000000,76.5000000000,0.0887374879,0.6760651300,0.2351973821
-85.5000000000,76.5000000000,0.0850570043,0.7123863244,0.2025566714
-84.5000000000,76.5000000000,0.0716196431,0.7438315622,0.1845487947
-83.5000000000,76.5000000000,0.0665034817,0.7645014704,0.1689950479
-82.5000000000,76.5000000000,0.0651960316,0.7759627006,0.1588412678
-81.5000000000,76.5000000000,0.0557374444,0.7583153541,0.1859472015
-80.5000000000,76.5000000000,0.0548068437,0.7279563685,0.2172367878
-79.5000000000,76.5000000000,0.0609782646,0.6896258186,0.2493959169
-78.5000000000,76.5000000000,0.0529340474,0.6405925322,0.3064734204
-115.5000000000,75.5000000000,0.0434818131,0.1964889957,0.7600291912
-114.5000000000,75.5000000000,0.0488020752,0.2068838081,0.7443141167
