Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0466164554,0.3665903666,0.5867931780
-111.5000000000,78.5000000000,0.0515785973,0.3791657245,0.5692556782
-110.5000000000,78.5000000000,0.0577642261,0.3867690351,0.5554667388
-109.5000000000,78.5000000000,0.0633951770,0.3938337298,0.5427710933
-104.5000000000,78.5000000000,0.1012738792,0.4250360019,0.4736901189
-103.5000000000,78.5000000000,0.1106078934,0.4303218921,0.4590702145
-102.5000000000,78.5000000000,0.1192879573,0.4330634609,0.4476485819
-101.5000000000,78.5000000000,0.1270874893,0.4358311465,0.4370813641
-100.5000000000,78.5000000000,0.1321640668,0.4402486846,0.4275872487
-97.5000000000,78.5000000000,0.1501211461,0.4522726514,0.3976062026
-96.5000000000,78.5000000000,0.1510299784,0.4563413916,0.3926286300
-95.5000000000,78.5000000000,0.1559322091,0.4542090597,0.3898587312
-92.5000000000,78.5000000000,0.1628499685,0.4467260546,0.3904239769
-91.5000000000,78.5000000000,0.1875911176,0.4156506744,0.3967582080
-90.5000000000,78.5000000000,0.1937240866,0.4056884105,0.4005875029
-89.5000000000,78.5000000000,0.1772243807,0.4185493162,0.4042263030
-86.5000000000,78.5000000000,0.1562492665,0.4168692531,0.4268814804
-85.5000000000,78.5000000000,0.1550360218,0.4080991314,0.4368648469
-84.5000000000,78.5000000000,0.1517710995,0.4010756942,0.4471532064
-83.5000000000,78.5000000000,0.1505332022,0.3879331952,0.4615336026
-82.5000000000,78.5000000000,0.1322169770,0.3961068854,0.4716761376
-81.5000000000,78.5000000000,0.1339417863,0.3788757507,0.4871824630
-80.5000000000,78.5000000000,0.1428466614,0.3518133373,0.5053400013
-79.5000000000,78.5000000000,0.1525613775,0.3235155206,0.5239231018
-78.5000000000,78.5000000000,0.1227228855,0.3423837320,0.5348933825
-77.5000000000,78.5000000000,0.1067617343,0.3396882172,0.5535500486
-116.5000000000,77.5000000000,0.0419807293,0.2913653458,0.6666539248
-112.5000000000,77.5000000000,0.0474658836,0.3651888950,0.5873452214
-111.5000000000,77.5000000000,0.0523978532,0.3780243683,0.5695777785
-110.5000000000,77.5000000000,0.0579790657,0.3872954713,0.5547254630
-105.5000000000,77.5000000000,0.0951425281,0.4170763322,0.4877811397
-95.5000000000,77.5000000000,0.1562830792,0.4546762096,0.3890407112
-94.5000000000,77.5000000000,0.1603441499,0.4517449877,0.3879108624
-93.5000000000,77.5000000000,0.1621475409,0.4493232058,0.3885292533
-90.5000000000,77.5000000000,0.1642467266,0.4411132994,0.3946399740
-87.5000000000,77.5000000000,0.1512225601,0.4332629146,0.4155145253
-86.5000000000,77.5000000000,0.1567396665,0.4171951622,0.4260651714
-82.5000000000,77.5000000000,0.1373398147,0.3902026020,0.4724575833
-81.5000000000,77.5000000000,0.1230923021,0.3947919064,0.4821157915
-80.5000000000,77.5000000000,0.1369492155,0.3602580614,0.5027927231
-79.5000000000,77.5000000000,0.1250772351,0.3589514732,0.5159712917
-78.5000000000,77.5000000000,0.1107373295,0.3603580971,0.5289045734
-120.5000000000,76.5000000000,0.0405871628,0.2229073023,0.7365055349
-119.5000000000,76.5000000000,0.0418379892,0.2298329916,0.7283290191
-117.5000000000,76.5000000000,0.0441038118,0.2673969080,0.6884992801
-109.5000000000,76.5000000000,0.0651784402,0.3918722392,0.5429493205
-104.5000000000,76.5000000000,0.1034629670,0.4234644726,0.4730725604
-103.5000000000,76.5000000000,0.1129532341,0.4286795141,0.4583672517
-100.5000000000,76.5000000000,0.1371975792,0.4352173670,0.4275850539
-99.5000000000,76.5000000000,0.1429823585,0.4380284912,0.4189891503
-98.5000000000,76.5000000000,0.1506321702,0.4434677439,0.4059000859
-95.5000000000,76.5000000000,0.1621927240,0.4481309889,0.3896762871
-94.5000000000,76.5000000000,0.1705768867,0.4400295452,0.3893935680
-93.5000000000,76.5000000000,0.1644537169,0.4473648876,0.3881813955
-92.5000000000,76.5000000000,0.1714579380,0.4379982899,0.3905437721
-90.5000000000,76.5000000000,0.1646170945,0.4415690965,0.3938138090
-88.5000000000,76.5000000000,0.1567864119,0.4360106751,0.4072029129
-86.5000000000,76.5000000000,0.1540456222,0.4215236922,0.4244306855
-85.5000000000,76.5000000000,0.1612011220,0.4023757532,0.4364231248
-84.5000000000,76.5000000000,0.1494056646,0.4059772745,0.4446170609
-83.5000000000,76.5000000000,0.1496730014,0.3909259689,0.4594010297
-82.5000000000,76.5000000000,0.1571959568,0.3661861407,0.4766179025
-81.5000000000,76.5000000000,0.1325732314,0.3826608465,0.4847659221
-80.5000000000,76.5000000000,0.1249363501,0.3773200292,0.4977436207
-79.5000000000,76.5000000000,0.1339589339,0.3481409585,0.5179001076
-78.5000000000,76.5000000000,0.1146518830,0.3556339844,0.5297141326
-115.5000000000,75.5000000000,0.0446890677,0.3055397432,0.6497711890
-114.5000000000,75.5000000000,0.0480045899,0.3194639323,0.6325314778
-113.5000000000,75.5000000000,0.0500581720,0.3352315064,0.6147103215
-112.5000000000,75.5000000000,0.0525082461,0.3534869661,0.5940047878
-111.5000000000,75.5000000000,0.0543521705,0.3750098700,0.5706379595
-110.5000000000,75.5000000000,0.0601599160,0.3841068127,0.5557332712
-109.5000000000,75.5000000000,0.0660805189,0.3909015410,0.5430179402
-108.5000000000,75.5000000000,0.0736091521,0.3980695251,0.5283213228
-107.5000000000,75.5000000000,0.0837529611,0.4016424874,0.5146045515
