Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0440491301,0.1811059514,0.7748449185
-111.5000000000,78.5000000000,0.0494272117,0.1954852924,0.7550874958
-110.5000000000,78.5000000000,0.0526441651,0.2011727883,0.7461830466
-109.5000000000,78.5000000000,0.0561483233,0.2146871444,0.7291645323
-104.5000000000,78.5000000000,0.0737605043,0.2790808884,0.6471586073
-103.5000000000,78.5000000000,0.0757852510,0.2875324324,0.6366823165
-102.5000000000,78.5000000000,0.0778868932,0.2955602163,0.6265528905
-101.5000000000,78.5000000000,0.0784670182,0.3006672070,0.6208657748
-100.5000000000,78.5000000000,0.0770168615,0.3095790359,0.6134041026
-97.5000000000,78.5000000000,0.0827538965,0.3434142891,0.5738318144
-96.5000000000,78.5000000000,0.0804730280,0.3400729891,0.5794539829
-95.5000000000,78.5000000000,0.0817388141,0.3450144586,0.5732467272
-92.5000000000,78.5000000000,0.0709768400,0.3560626172,0.5729605428
-91.5000000000,78.5000000000,0.0851280999,0.3785521157,0.5363197844
-90.5000000000,78.5000000000,0.0886737905,0.4067992289,0.5045269806
-89.5000000000,78.5000000000,0.0820494262,0.4481123065,0.4698382674
-86.5000000000,78.5000000000,0.0744522860,0.6196792583,0.3058684557
-85.5000000000,78.5000000000,0.0746827911,0.6842608007,0.2410564081
-84.5000000000,78.5000000000,0.0715470170,0.7427390590,0.1857139239
-83.5000000000,78.5000000000,0.0698789169,0.7798462047,0.1502748784
-82.5000000000,78.5000000000,0.0594363607,0.8087525369,0.1318111024
-81.5000000000,78.5000000000,0.0655002740,0.7975257759,0.1369739501
-80.5000000000,78.5000000000,0.0785080028,0.7715784909,0.1499135062
-79.5000000000,78.5000000000,0.0939683974,0.7371183511,0.1689132515
-78.5000000000,78.5000000000,0.0784954972,0.7080627233,0.2134417794
-77.5000000000,78.5000000000,0.0717322645,0.6643658582,0.2639018773
-116.5000000000,77.5000000000,0.0310750308,0.1425930643,0.8263319049
-112.5000000000,77.5000000000,0.0446503299,0.1805357332,0.7748139370
-111.5000000000,77.5000000000,0.0499405944,0.1947830239,0.7552763817
-110.5000000000,77.5000000000,0.0523058163,0.2000225281,0.7476716556
-105.5000000000,77.5000000000,0.0713655303,0.2650248669,0.6636096028
