Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-115.5000000000,75.5000000000,0.0352703664,0.1471751920,0.8175544416
-114.5000000000,75.5000000000,0.0421579070,0.1663000121,0.7915420809
-113.5000000000,75.5000000000,0.0479578468,0.1877609907,0.7642811625
-112.5000000000,75.5000000000,0.0511835361,0.2034261615,0.7453903024
-111.5000000000,75.5000000000,0.0519957293,0.2173828929,0.7306213778
-110.5000000000,75.5000000000,0.0563076602,0.2360138391,0.7076785007
-109.5000000000,75.5000000000,0.0585710501,0.2451373736,0.6962915763
-108.5000000000,75.5000000000,0.0621952253,0.2616646713,0.6761401035
-107.5000000000,75.5000000000,0.0663214245,0.2810463488,0.6526322267
-106.5000000000,75.5000000000,0.0654040199,0.2883093780,0.6462866021
-99.5000000000,75.5000000000,0.0779988506,0.2942123513,0.6277887982
-98.5000000000,75.5000000000,0.0812072199,0.3043923277,0.6144004524
-95.5000000000,75.5000000000,0.0859364733,0.3697875746,0.5442759521
-94.5000000000,75.5000000000,0.0914383532,0.4196270443,0.4889346025
-91.5000000000,75.5000000000,0.0900541718,0.6317457868,0.2782000414
-90.5000000000,75.5000000000,0.0851200487,0.7044844630,0.2103954883
-89.5000000000,75.5000000000,0.0744944938,0.7656095340,0.1598959722
-88.5000000000,75.5000000000,0.0623696087,0.8212140381,0.1164163532
-85.5000000000,75.5000000000,0.0330177378,0.9278072562,0.0391750061
-84.5000000000,75.5000000000,0.0259468949,0.9458442312,0.0282088739
-83.5000000000,75.5000000000,0.0229750074,0.9565735428,0.0204514498
-82.5000000000,75.5000000000,0.0205948441,0.9612650158,0.0181401401
-81.5000000000,75.5000000000,0.0192413252,0.9564597808,0.0242988940
-80.5000000000,75.5000000000,0.0208732945,0.9434162890,0.0357104164
-121.5000000000,74.5000000000,0.0410913854,0.4330062933,0.5259023213
-113.5000000000,74.5000000000,0.0478334419,0.1897415681,0.7624249900
-112.5000000000,74.5000000000,0.0523919114,0.2069113742,0.7406967144
-97.5000000000,74.5000000000,0.0837337004,0.3138260850,0.6024402147
-88.5000000000,74.5000000000,0.0634179522,0.8131305143,0.1234515335
-87.5000000000,74.5000000000,0.0563920116,0.8589795123,0.0846284761
-86.5000000000,74.5000000000,0.0443039402,0.8936735434,0.0620225164
-123.5000000000,73.5000000000,0.0492683230,0.8281630131,0.1225686639
-122.5000000000,73.5000000000,0.0509723350,0.7258151841,0.2232124808
-121.5000000000,73.5000000000,0.0482358360,0.5007235080,0.4510406560
-120.5000000000,73.5000000000,0.0368650653,0.2683466023,0.6947883324
-119.5000000000,73.5000000000,0.0344708061,0.1968751867,0.7686540072
-118.5000000000,73.5000000000,0.0359805820,0.1689176444,0.7951017736
-117.5000000000,73.5000000000,0.0375003339,0.1584406469,0.8040590193
-116.5000000000,73.5000000000,0.0403580064,0.1619726626,0.7976693310
-115.5000000000,73.5000000000,0.0446162600,0.1722458846,0.7831378554
-106.5000000000,73.5000000000,0.0705783799,0.2869462248,0.6424753953
-105.5000000000,73.5000000000,0.0702298979,0.2876391893,0.6421309128
-104.5000000000,73.5000000000,0.0693684569,0.2862597216,0.6443718215
-101.5000000000,73.5000000000,0.0744910847,0.2750801892,0.6504287261
-100.5000000000,73.5000000000,0.0789504266,0.2754480065,0.6456015669
-99.5000000000,73.5000000000,0.0809080687,0.2823963657,0.6366955656
-98.5000000000,73.5000000000,0.0856388564,0.2944467717,0.6199143718
-95.5000000000,73.5000000000,0.0936267303,0.3533312741,0.5530419956
-94.5000000000,73.5000000000,0.1000143382,0.4058647106,0.4941209512
-93.5000000000,73.5000000000,0.1047651169,0.4710082219,0.4242266612
-92.5000000000,73.5000000000,0.1054979200,0.5435707982,0.3509312818
-91.5000000000,73.5000000000,0.1007805031,0.6149578348,0.2842616621
-87.5000000000,73.5000000000,0.0609154402,0.8442640577,0.0948205021
-86.5000000000,73.5000000000,0.0511261205,0.8794058689,0.0694680105
-83.5000000000,73.5000000000,0.0287740614,0.9345653420,0.0366605967
-82.5000000000,73.5000000000,0.0262674898,0.9383645007,0.0353680095
-81.5000000000,73.5000000000,0.0254008531,0.9338190094,0.0407801376
-80.5000000000,73.5000000000,0.0290182339,0.9207614836,0.0502202825
-79.5000000000,73.5000000000,0.0321358315,0.8980312748,0.0698328937
-78.5000000000,73.5000000000,0.0327344543,0.8632377266,0.1040278190
-77.5000000000,73.5000000000,0.0363327229,0.8163976048,0.1472696722
-124.5000000000,72.5000000000,0.0555989594,0.8777904026,0.0666106379
-123.5000000000,72.5000000000,0.0515835027,0.8662789731,0.0821375242
