Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0441740865,0.1610158374,0.7948100761
-111.5000000000,78.5000000000,0.0481509159,0.1681482816,0.7837008025
-110.5000000000,78.5000000000,0.0518945370,0.1732476941,0.7748577689
-109.5000000000,78.5000000000,0.0535088728,0.1776429692,0.7688481581
-104.5000000000,78.5000000000,0.0641766134,0.2192451759,0.7165782106
-103.5000000000,78.5000000000,0.0652853641,0.2251355141,0.7095791219
-102.5000000000,78.5000000000,0.0665302530,0.2318381518,0.7016315952
-101.5000000000,78.5000000000,0.0703440489,0.2423839015,0.6872720496
-100.5000000000,78.5000000000,0.0725126011,0.2535927520,0.6738946469
-97.5000000000,78.5000000000,0.0816905277,0.3023001761,0.6160092962
-96.5000000000,78.5000000000,0.0830905159,0.3248361333,0.5920733508
-95.5000000000,78.5000000000,0.0856757908,0.3473575668,0.5669666424
-92.5000000000,78.5000000000,0.0859888314,0.4458787915,0.4681323771
-91.5000000000,78.5000000000,0.1029172710,0.4841294647,0.4129532643
-90.5000000000,78.5000000000,0.1054719624,0.5207423710,0.3737856665
-89.5000000000,78.5000000000,0.0926354442,0.5628073167,0.3445572391
-86.5000000000,78.5000000000,0.0681588091,0.6791852354,0.2526559555
-85.5000000000,78.5000000000,0.0630070630,0.7136964300,0.2232965070
-84.5000000000,78.5000000000,0.0565062648,0.7427868611,0.2007068741
-83.5000000000,78.5000000000,0.0529071467,0.7631607010,0.1839321523
-82.5000000000,78.5000000000,0.0436450988,0.7722169437,0.1841379575
-81.5000000000,78.5000000000,0.0470783335,0.7568774968,0.1960441697
-80.5000000000,78.5000000000,0.0560231803,0.7274454649,0.2165313548
-79.5000000000,78.5000000000,0.0676062598,0.6873815746,0.2450121657
-78.5000000000,78.5000000000,0.0541900029,0.6400444766,0.3057655205
-77.5000000000,78.5000000000,0.0484326337,0.5864539120,0.3651134543
-116.5000000000,77.5000000000,0.0340917957,0.1451477441,0.8207604601
-112.5000000000,77.5000000000,0.0448451361,0.1603821227,0.7947727411
-111.5000000000,77.5000000000,0.0487143706,0.1674153720,0.7838702574
-110.5000000000,77.5000000000,0.0515694039,0.1721470490,0.7762835471
-105.5000000000,77.5000000000,0.0643447835,0.2135225816,0.7221326348
-95.5000000000,77.5000000000,0.0851863123,0.3457217878,0.5690919000
-94.5000000000,77.5000000000,0.0869478023,0.3782922666,0.5347599311
