Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0485873780,0.1946145481,0.7567980739
-111.5000000000,78.5000000000,0.0529420835,0.2010130254,0.7460448912
-110.5000000000,78.5000000000,0.0561848793,0.2082564885,0.7355586323
-109.5000000000,78.5000000000,0.0579240036,0.2142828851,0.7277931113
-104.5000000000,78.5000000000,0.0711946764,0.2440086771,0.6847966465
-103.5000000000,78.5000000000,0.0719121224,0.2422432722,0.6858446055
-102.5000000000,78.5000000000,0.0744143421,0.2459119556,0.6796737024
-101.5000000000,78.5000000000,0.0758098955,0.2500970007,0.6740931038
-100.5000000000,78.5000000000,0.0760713333,0.2581067473,0.6658219195
-97.5000000000,78.5000000000,0.0722189568,0.2739417398,0.6538393033
-96.5000000000,78.5000000000,0.0653997353,0.2799517384,0.6546485263
-95.5000000000,78.5000000000,0.0598273095,0.2841768564,0.6559958341
-92.5000000000,78.5000000000,0.0486238999,0.3273657256,0.6240103745
-91.5000000000,78.5000000000,0.0574020751,0.3721348011,0.5704631238
-90.5000000000,78.5000000000,0.0582445459,0.4035293848,0.5382260693
-89.5000000000,78.5000000000,0.0539543161,0.4361272112,0.5099184727
-86.5000000000,78.5000000000,0.0527587615,0.5858323589,0.3614088796
-85.5000000000,78.5000000000,0.0539448665,0.6398968340,0.3061582994
-84.5000000000,78.5000000000,0.0532235408,0.6893544261,0.2574220330
-83.5000000000,78.5000000000,0.0537303334,0.7297092935,0.2165603731
-82.5000000000,78.5000000000,0.0475939627,0.7415023387,0.2109036986
-81.5000000000,78.5000000000,0.0519849639,0.7357474800,0.2122675561
-80.5000000000,78.5000000000,0.0615988556,0.7247675810,0.2136335634
-79.5000000000,78.5000000000,0.0727905649,0.7050854156,0.2221240195
-78.5000000000,78.5000000000,0.0596912457,0.6586934436,0.2816153107
-77.5000000000,78.5000000000,0.0514670253,0.6085431961,0.3399897785
-116.5000000000,77.5000000000,0.0333553209,0.1678467056,0.7987979735
-112.5000000000,77.5000000000,0.0493726975,0.1939078741,0.7567194284
-111.5000000000,77.5000000000,0.0536249122,0.2000599961,0.7463150918
-110.5000000000,77.5000000000,0.0559719267,0.2061283560,0.7378997173
-105.5000000000,77.5000000000,0.0689439402,0.2383555078,0.6927005520
-95.5000000000,77.5000000000,0.0595972872,0.2814727703,0.6589299425
-94.5000000000,77.5000000000,0.0557633721,0.2941007453,0.6501358826
-93.5000000000,77.5000000000,0.0505276675,0.3058314443,0.6436408881
-90.5000000000,77.5000000000,0.0461230336,0.3761896604,0.5776873061
-87.5000000000,77.5000000000,0.0488691612,0.5210129518,0.4301178870
-86.5000000000,77.5000000000,0.0528248314,0.5827808569,0.3643943117
-82.5000000000,77.5000000000,0.0496010661,0.7419438109,0.2084551230
-81.5000000000,77.5000000000,0.0473585146,0.7260790777,0.2265624077
-80.5000000000,77.5000000000,0.0587284675,0.7189230310,0.2223485016
-79.5000000000,77.5000000000,0.0580271363,0.6861983297,0.2557745340
-78.5000000000,77.5000000000,0.0529087005,0.6446757536,0.3024155459
-120.5000000000,76.5000000000,0.0362851697,0.2190205928,0.7446942375
-119.5000000000,76.5000000000,0.0327611860,0.1858613397,0.7813774743
-117.5000000000,76.5000000000,0.0334661609,0.1689076896,0.7976261495
-109.5000000000,76.5000000000,0.0591407069,0.2119183428,0.7289409504
-104.5000000000,76.5000000000,0.0721587784,0.2407924490,0.6870487726
-103.5000000000,76.5000000000,0.0728631563,0.2390213016,0.6881155422
-100.5000000000,76.5000000000,0.0788984522,0.2564868487,0.6646146991
-99.5000000000,76.5000000000,0.0791899582,0.2586523636,0.6621576782
-98.5000000000,76.5000000000,0.0788145332,0.2646131507,0.6565723161
-95.5000000000,76.5000000000,0.0623354978,0.2829306591,0.6547338432
-94.5000000000,76.5000000000,0.0604145196,0.2987496633,0.6408358170
-93.5000000000,76.5000000000,0.0511942662,0.3045283750,0.6442773588
-92.5000000000,76.5000000000,0.0515930573,0.3278163832,0.6205905595
-90.5000000000,76.5000000000,0.0459996639,0.3730476532,0.5809526830
-88.5000000000,76.5000000000,0.0484483887,0.4635572076,0.4879944037
-86.5000000000,76.5000000000,0.0515911778,0.5770801400,0.3713286822
-85.5000000000,76.5000000000,0.0562828569,0.6378348603,0.3058822828
-84.5000000000,76.5000000000,0.0521731074,0.6818911218,0.2659357707
-83.5000000000,76.5000000000,0.0533417175,0.7239197616,0.2227385209
-82.5000000000,76.5000000000,0.0575635744,0.7492909945,0.1931454312
-81.5000000000,76.5000000000,0.0513541112,0.7296472734,0.2189986154
-80.5000000000,76.5000000000,0.0529816168,0.7085144482,0.2385039350
-79.5000000000,76.5000000000,0.0626431131,0.6893999188,0.2479569681
-78.5000000000,76.5000000000,0.0549675348,0.6452604699,0.2997719954
-115.5000000000,75.5000000000,0.0385083135,0.1732783085,0.7882133780
-114.5000000000,75.5000000000,0.0460116951,0.1831503224,0.7708379826
-113.5000000000,75.5000000000,0.0526711416,0.1927348378,0.7545940206
-112.5000000000,75.5000000000,0.0558700520,0.1985495149,0.7455804331
-111.5000000000,75.5000000000,0.0554123699,0.1986390753,0.7459485548
-110.5000000000,75.5000000000,0.0578684575,0.2046951500,0.7374363925
-109.5000000000,75.5000000000,0.0597489071,0.2107318111,0.7295192818
-108.5000000000,75.5000000000,0.0631507682,0.2195822803,0.7172669515
-107.5000000000,75.5000000000,0.0691612416,0.2333424681,0.6974962903
-106.5000000000,75.5000000000,0.0706714968,0.2374365077,0.6918919955
-99.5000000000,75.5000000000,0.0785704724,0.2558522892,0.6655772384
-98.5000000000,75.5000000000,0.0777397291,0.2613119223,0.6609483486
-95.5000000000,75.5000000000,0.0608820463,0.2785706318,0.6605473219
-94.5000000000,75.5000000000,0.0591538818,0.2944328871,0.6464132310
-91.5000000000,75.5000000000,0.0502547198,0.3503911832,0.5993540970
-90.5000000000,75.5000000000,0.0506524757,0.3802452728,0.5691022514
-89.5000000000,75.5000000000,0.0513186472,0.4215779538,0.5271033990
-88.5000000000,75.5000000000,0.0514422912,0.4670856716,0.4814720372
-85.5000000000,75.5000000000,0.0557130978,0.6338163713,0.3104705309
-84.5000000000,75.5000000000,0.0556365813,0.6845295223,0.2598338963
-83.5000000000,75.5000000000,0.0629477870,0.7325385353,0.2045136777
-82.5000000000,75.5000000000,0.0643208469,0.7530917863,0.1825873668
-81.5000000000,75.5000000000,0.0565160815,0.7338339035,0.2096500150
-80.5000000000,75.5000000000,0.0569514297,0.7113540209,0.2316945494
-121.5000000000,74.5000000000,0.0489056471,0.2941130311,0.6569813218
-113.5000000000,74.5000000000,0.0500479714,0.1917683444,0.7581836842
-112.5000000000,74.5000000000,0.0550553723,0.1990979175,0.7458467102
-97.5000000000,74.5000000000,0.0734708815,0.2644283717,0.6621007468
-88.5000000000,74.5000000000,0.0489919766,0.4502035001,0.5008045234
-87.5000000000,74.5000000000,0.0559108188,0.5129968841,0.4310922971
-86.5000000000,74.5000000000,0.0546047767,0.5621404851,0.3832547382
-123.5000000000,73.5000000000,0.0819825511,0.5129931879,0.4050242610
-122.5000000000,73.5000000000,0.0702832635,0.4270485782,0.5026681584
-121.5000000000,73.5000000000,0.0553065805,0.3230665343,0.6216268851
-120.5000000000,73.5000000000,0.0424532941,0.2344852792,0.7230614267
-119.5000000000,73.5000000000,0.0396013339,0.2051005987,0.7552980673
-118.5000000000,73.5000000000,0.0404701246,0.1961023850,0.7634274903
-117.5000000000,73.5000000000,0.0409827932,0.1911680724,0.7678491344
-116.5000000000,73.5000000000,0.0420983416,0.1912951625,0.7666064959
-115.5000000000,73.5000000000,0.0436079944,0.1925143207,0.7638776848
-106.5000000000,73.5000000000,0.0746029606,0.2374773249,0.6879197145
-105.5000000000,73.5000000000,0.0761613231,0.2376627458,0.6861759311
-104.5000000000,73.5000000000,0.0746366580,0.2365107493,0.6888525927
-101.5000000000,73.5000000000,0.0758639907,0.2386616227,0.6854743867
-100.5000000000,73.5000000000,0.0790464492,0.2437877993,0.6771657515
-99.5000000000,73.5000000000,0.0779243774,0.2464742383,0.6756013843
-98.5000000000,73.5000000000,0.0795506610,0.2520413014,0.6684080376
-95.5000000000,73.5000000000,0.0628708386,0.2678852643,0.6692438971
-94.5000000000,73.5000000000,0.0594275642,0.2804201162,0.6601523196
-93.5000000000,73.5000000000,0.0558159325,0.2945160170,0.6496680505
-92.5000000000,73.5000000000,0.0529690269,0.3088171040,0.6382138691
-91.5000000000,73.5000000000,0.0502389575,0.3274831325,0.6222779101
-87.5000000000,73.5000000000,0.0546095232,0.4869617693,0.4584287075
-86.5000000000,73.5000000000,0.0577380255,0.5373865383,0.4048754362
-83.5000000000,73.5000000000,0.0588378133,0.6594927515,0.2816694352
-82.5000000000,73.5000000000,0.0586174188,0.6769433752,0.2644392060
-81.5000000000,73.5000000000,0.0564769308,0.6709507616,0.2725723075
-80.5000000000,73.5000000000,0.0647119362,0.6667299752,0.2685580886
-79.5000000000,73.5000000000,0.0659240850,0.6454196439,0.2886562712
-78.5000000000,73.5000000000,0.0572291309,0.6053244507,0.3374464184
-77.5000000000,73.5000000000,0.0568251338,0.5732253474,0.3699495187
-124.5000000000,72.5000000000,0.1064094757,0.6119679236,0.2816226007
-123.5000000000,72.5000000000,0.0951249093,0.5683310185,0.3365440722
-122.5000000000,72.5000000000,0.0835558606,0.5006536584,0.4157904810
-121.5000000000,72.5000000000,0.0683840606,0.3821861797,0.5494297597
-120.5000000000,72.5000000000,0.0534383983,0.2741044614,0.6724571403
-119.5000000000,72.5000000000,0.0510274210,0.2485040468,0.7004685322
-117.5000000000,72.5000000000,0.0468516065,0.2197073555,0.7334410380
-116.5000000000,72.5000000000,0.0485259362,0.2171171225,0.7343569413
-115.5000000000,72.5000000000,0.0494519415,0.2165262200,0.7340218385
-114.5000000000,72.5000000000,0.0521028581,0.2165260321,0.7313711098
-113.5000000000,72.5000000000,0.0583542822,0.2179577989,0.7236879190
-112.5000000000,72.5000000000,0.0637880671,0.2185891128,0.7176228201
-111.5000000000,72.5000000000,0.0642467569,0.2151894850,0.7205637581
-109.5000000000,72.5000000000,0.0775457350,0.2307783757,0.6916758893
-107.5000000000,72.5000000000,0.0769465260,0.2383216023,0.6847318717
-106.5000000000,72.5000000000,0.0774535160,0.2403277540,0.6822187300
